ies,sigla,uf,publica_privada,qde_cursos_fez_enade,qde_cursos_cpc,igc,igc_faixa
FACULDADE DE COMPUTAÇÃO E INFORMÁTICA DA FUNDAÇÃO ALVARES PENTEADO,FCI-FAAP,SP,Privada,1,1,337,4
FACULDADE DE CIÊNCIAS CONTÁBEIS DE ITAPETININGA,FCCI,SP,Privada,3,2,100,2
"FACULDADE DE FILOSOFIA, CIÊNCIAS E LETRAS DE ITAPETININGA",FFCLI,SP,Privada,3,3,161,2
FACULDADE DE ODONTOLOGIA DE NOVA FRIBURGO,,RJ,Privada,1,1,,
"FACULDADE DE CIÊNCIAS ECONÔMICAS, ADMINISTRATIVAS E DA COMPUTAÇÃO DOM BOSCO",FCEACDB,RJ,Privada,3,3,205,3
FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DOM BOSCO,FFCLDB,RJ,Privada,3,3,194,2
FACULDADE DE MEDICINA DE PETRÓPOLIS,FMP,RJ,Privada,1,1,222,3
CENTRO DE ENSINO SUPERIOR DE VALENÇA,CESVA,RJ,Privada,10,9,156,2
FACULDADE DE EDUCAÇÃO CIÊNCIAS E LETRAS DON DOMÊNICO,FECLE,SP,Privada,6,0,,
FACULDADE DE ADMINISTRACAO CIENCIAS ECON E CONTABEIS DE GUARATINGUETA,FACEAG,SP,Privada,2,2,158,2
FACULDADE DE EDUCAÇÃO DE GUARATINGUETÁ,FACEG,SP,Privada,1,1,198,3
FACULDADE DE CIÊNCIAS E LETRAS DE BRAGANÇA PAULISTA,FESB,SP,Privada,9,7,173,2
ESCOLA SUPERIOR DE CIÊNCIAS DA SANTA CASA DE MISERICÓRDIA DE VITÓRIA,EMESCAM,ES,Privada,5,5,290,3
FACULDADE DE MEDICINA DE CAMPOS,FMC,RJ,Privada,2,2,216,3
FACULDADE TRIANGULO MINEIRO,FTM,MG,Privada,4,3,220,3
FACULDADE DE CIÊNCIAS SOCIAIS APLICADAS DO SUL DE MINAS - FACESM,FACESM,MG,Privada,3,3,234,3
FACULDADES INTEGRADAS DE CRUZEIRO,FIC,SP,Privada,6,6,145,2
ESCOLA DE ENFERMAGEM WENCESLAU BRAZ,EEWB,MG,Privada,1,1,312,4
FACULDADE DE EDUCAÇÃO SÃO LUÍS,FESL,SP,Privada,13,13,259,3
FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE OURO FINO,,MG,Privada,1,1,222,3
FACULDADES INTEGRADAS DE ITAPETININGA,FII,SP,Privada,5,5,227,3
ESCOLA BAHIANA DE MEDICINA E SAÚDE PÚBLICA,EBMSP,BA,Privada,6,5,257,3
FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE MANDAGUARI,FAFIMAN,PR,Municipal,9,8,176,2
