ies,sigla,uf,publica_privada,qde_cursos_fez_enade,qde_cursos_cpc,igc,igc_faixa
FACULDADE UNISSA DE SARANDI,UNISSA,PR,Privada,2,2,226,3
FACULDADE METROPOLITANA DE CURITIBA,FAMEC,PR,Privada,7,1,209,3
FACULDADE ADELMAR ROSADO,FAR,PI,Privada,2,2,209,3
INSTITUTO DE CIÊNCIAS SOCIAIS E HUMANAS,ICSH,GO,Privada,3,2,141,2
FACULDADE DE PIMENTA BUENO,FAP,RO,Privada,5,2,171,2
FACULDADE DE PIRACANJUBA,FAP,GO,Privada,2,1,155,2
FACULDADE DE ENGENHARIA E TECNOLOGIA DO INSTITUTO MAIRIPORÃ DE ENSINO SUPERIOR,IMENSU-FET,SP,Privada,1,0,,
FACULDADE DO CENTRO LESTE,UCL,ES,Privada,4,4,219,3
ÁREA1 - FACULDADE DE CIÊNCIA E TECNOLOGIA,AREA1,BA,Privada,5,3,166,2
FACULDADE DOIS DE JULHO,F2J,BA,Privada,4,3,206,3
FACULDADE ANHAGUERA DE JUNDIAÍ,FPJ,SP,Privada,14,10,195,3
FACULDADE DE PRIMAVERA,CESPRI,SP,Privada,3,2,242,3
FACULDADE SÃO LUCAS,FSL,RO,Privada,11,8,176,2
FACULDADE MAGISTER,MAGISTER,SP,Privada,2,2,210,3
FACULDADE CENECISTA DE CAMPO LARGO,FACECLA,PR,Privada,4,2,251,3
FACULDADES DE DRACENA,FADRA,SP,Privada,8,4,235,3
FACULDADE IDEAL,FACI,PA,Privada,7,5,179,2
FACULDADE EVOLUTIVO,FACE,CE,Privada,3,3,203,3
INSTITUTO LUTERANO DE ENSINO SUPERIOR DE ITUMBIARA,ILES,GO,Privada,12,11,240,3
FACULDADE DA SERRA GAÚCHA,FSG,RS,Privada,6,2,252,3
INSTITUTO DE ENSINO SUPERIOR PLANALTO,IESPLAN,DF,Privada,3,1,179,2
FACULDADE BATISTA DO RIO DE JANEIRO,FABAT,RJ,Privada,1,1,183,2
FACULDADE INGÁ,UNINGÁ,PR,Privada,11,7,228,3
FACULDADE BERTIOGA,FABE,SP,Privada,1,1,151,2
FACULDADE ORÍGENES LESSA,FACOL,SP,Privada,3,2,195,3
INSTITUTO DE ENSINO SUPERIOR DE ITAPIRA,IESI,SP,Privada,3,1,239,3
FACULDADE DE VILA VELHA,,ES,Privada,3,3,180,2
ESCOLA SUPERIOR BATISTA DO AMAZONAS,ESBAM,AM,Privada,9,7,157,2
ESCOLA SUPERIOR DE TECNOLOGIA E EDUCAÇÃO DE RIO CLARO,ESRC,SP,Privada,4,2,292,3
FACULDADE DE ADMINISTRAÇÃO DE EMPRESAS,FACAMP,SP,Privada,2,1,418,5
FACULDADE DE CIENCIAS ECONOMICAS,Facamp,SP,Privada,5,4,390,4
INSTITUTO APHONSIANO DE ENSINO SUPERIOR,IAESup,GO,Privada,3,3,204,3
FACULDADE DE TECNOLOGIA DO PIAUÍ,FATEPI,PI,Privada,1,1,159,2
FACULDADE DE DIREITO DE TANGARÁ DA SERRA,UNIC,MT,Privada,1,1,173,2
FACULDADE NACIONAL,FINAC,ES,Privada,2,1,260,3
FACULDADES INTEGRADAS EINSTEIN DE LIMEIRA,FIEL,SP,Privada,11,7,225,3
"FACULDADE DE EDUCAÇÃO, ADMINISTRAÇÃO E TECNOLOGIA DE IBAITI",FEATI,PR,Privada,4,3,203,3
FACULDADES INTEGRADAS DE SÃO CARLOS,FADISC,SP,Privada,6,4,132,2
FACULDADE ATENAS MARANHENSE,FAMA,MA,Privada,7,7,222,3
FACULDADE SALESIANA DO NORDESTE,FASNE,PE,Privada,6,4,204,3
FACULDADE SANTÍSSIMO SACRAMENTO,FSSS,BA,Privada,4,2,231,3
FACULDADE DE SERTÃOZINHO,FASERT,SP,Privada,3,2,219,3
FACULDADE EURO-PANAMERICANA DE HUMANIDADES E TECNOLOGIAS,EUROPAN,SP,Privada,8,5,197,3
FACULDADE DE CIÊNCIAS HUMANAS E SOCIAIS,FUCAMP,MG,Privada,4,3,210,3
FACULDADE DE TECNOLOGIA E CIÊNCIAS,FTC SALVADOR,BA,Privada,29,15,172,2
INSTITUTO PARAIBANO DE ENSINO RENOVADO,INPER,PB,Privada,8,7,166,2
FACULDADE ALFACASTELO,FCGB,SP,Privada,1,1,258,3
FACULDADE MÓDULO PAULISTA,FMP,SP,Privada,3,3,270,3
FACULDADE BANDEIRANTES,FABAN,SP,Privada,10,7,224,3
FACULDADE CENECISTA DE VILA VELHA,FACEVV,ES,Privada,3,2,179,2
"ESCOLA SUPERIOR DE ADMINISTRACAO, MARKETING E COMUNICACAO DE UBERLANDIA",ESAMC de Uberlândia,MG,Privada,2,2,182,2
FACULDADE DE CIÊNCIAS SOCIAIS DE FLORIANÓPOLIS,FCSF,SC,Privada,3,2,172,2
FACULDADES INTEGRADAS INTERAMERICANAS,FAITER,SP,Privada,3,3,194,2
FACULDADE MICHELANGELO,Michelangelo,DF,Privada,6,5,189,2
FACULDADE ANCHIETA,IGABC,SP,Privada,7,6,197,3
FACULDADES INTEGRADAS TIBIRIÇÁ,FATI,SP,Privada,4,2,232,3
FACULDADE IBMEC,Ibmec,MG,Privada,2,2,348,4
FACULDADE ESTÁCIO DE SÁ DE VITÓRIA,FESV,ES,Privada,7,4,262,3
FACULDADE DOM BOSCO,FDB,PR,Privada,5,3,229,3
FACULDADE PARAÍSO,FAP,RJ,Privada,5,3,170,2
FACULDADE DE JAGUARIÚNA,FAJ,SP,Privada,16,8,200,3
FACULDADE INTERNACIONAL DE CURITIBA,FACINTER,PR,Privada,7,5,250,3
FACULDADE DE CIÊNCIAS APLICADAS DE MINAS,FACIMINAS,MG,Privada,9,6,243,3
FACULDADE ALVES FARIA,ALFA,GO,Privada,9,6,213,3
FACULDADE SALESIANA DE VITÓRIA,UNISALES,ES,Privada,12,8,226,3
FACULDADE ESTACIO DE SA DE VILA VELHA,FESVV,ES,Privada,3,2,222,3
FACULDADE DE ADMINISTRACAO DE SANTA CRUZ DO RIO PARDO,FASC,SP,Privada,2,1,193,2
INSTITUTO DE ENSINO SUPERIOR E FORMAÇÃO AVANÇADA DE VITÓRIA,FAVI,ES,Privada,4,1,188,2
FACULDADE TABOÃO DA SERRA,FTS,SP,Privada,9,4,234,3
FACULDADE DE ENSINO SUPERIOR DE SÃO MIGUEL DO IGUAÇU,FAESI,PR,Privada,8,6,231,3
FACULDADE LATINO AMERICANA DE EDUCAÇÃO,FLATED,CE,Privada,3,3,166,2
FACULDADE JAPI,IJES,SP,Privada,6,2,166,2
FACULDADE DOUTOR LEOCÁDIO JOSÉ CORREIA,FALEC,PR,Privada,2,2,258,3
"ESCOLA SUPERIOR DE ADMINISTRACAO, MARKETING E COMU",ESAMC - Maceió,AL,Privada,2,1,308,4
FACULDADE DE MEDICINA VETERINÁRIA E ZOOTECNIA,FAMED,SP,Privada,1,1,216,3
INSTITUTO CENECISTA FAYAL DE ENSINO SUPERIOR,IFES,SC,Privada,5,4,210,3
FACULDADE CENECISTA DE BRASÍLIA,FACEB,DF,Privada,6,3,198,3
FACULDADE METROPOLITANA DE MARINGA,UNIFAMMA,PR,Privada,6,5,204,3
FACULDADE ESTÁCIO DE SÁ DE BELO HORIZONTE,FESBH,MG,Privada,10,7,240,3
FACULDADE ESTÁCIO DE SÁ DE SANTA CATARINA,FESSC,SC,Privada,8,7,286,3
INSTITUTO DE CIÊNCIAS JURÍDICAS E SOCIAIS PROFESSOR CAMILLO FILHO,ICF,PI,Privada,4,4,259,3
FACULDADE VALE DO CRICARÉ,F.V.C.,ES,Privada,6,6,213,3
FACULDADE DE EDUCAÇÃO DE PORTO VELHO,UNIRON,RO,Privada,6,3,198,3
FACULDADE DE VINHEDO,FV,SP,Privada,5,3,174,2
FACULDADE SANTA TEREZINHA,FAST,DF,Privada,4,4,194,2
FACULDADE DE PATO BRANCO,FADEP,PR,Privada,9,7,224,3
FACULDADE MARIO DE ANDRADE,FMA,SP,Privada,1,1,183,2
INSTITUTO DE ESTUDOS SUPERIORES DA AMAZÔNIA,IESAM,PA,Privada,11,7,171,2
FACULDADE DE DIREITO FRANCISCO BELTRÃO,CESUL,PR,Privada,1,1,217,3
FACULDADES INTEGRADAS OLGA METTIG,FAMETTIG,BA,Privada,4,3,234,3
FACULDADE DE CIÊNCIAS CONTÁBEIS DE AFONSO CLÁUDIO,ISEAC,ES,Privada,1,1,140,2
FACULDADE CENECISTA DE JOINVILLE - FACE,FCJ,SC,Privada,4,3,206,3
FACULDADE DE ENFERMAGEM DO PLANALTO CENTRAL,,DF,Privada,1,1,200,3
"FACULDADE DE FILOSOFIA, CIÊNCIAS E LETRAS NOSSA SENHORA APARECIDA",FNSA,SP,Privada,5,3,164,2
"FACULDADE DE CIÊNCIAS, LETRAS E EDUCAÇÃO DO NOROESTE DO PARANÁ",FACINOR,PR,Privada,2,1,105,2
FACULDADE SÃO JUDAS TADEU DE PINHAIS,,PR,Privada,4,0,,
FACULDADE DE TELÊMACO BORBA,FATEB,PR,Privada,6,4,167,2
FACULDADE EXPONENCIAL,FIE,SC,Privada,4,3,236,3
FACULDADE PROJEÇÃO,FAPRO,DF,Privada,8,5,188,2
INSTITUTO DE ENSINO SUPERIOR DE RONDÔNIA,IESUR,RO,Privada,3,3,229,3
FACULDADE FLAMINGO,FAFLA,SP,Privada,5,3,154,2
FACULDADE DECISAO,FADEC,SC,Privada,1,1,282,3
INSTITUTO DE EDUCAÇÃO SUPERIOR DE BOITUVA,FIB,SP,Privada,3,2,202,3
FACULDADE DE EDUCAÇÃO SÃO FRANCISCO,FAESF,MA,Privada,6,4,157,2
FACULDADE DE MEDICINA DE JUAZEIRO DO NORTE,FMJ,CE,Privada,1,1,203,3
FACULDADE PALAS ATENA DE CHOPINZINHO,FPA,PR,Privada,3,2,116,2
FACULDADE DE EDUCAÇÃO FÍSICA DE FOZ DO IGUAÇU,FEPI,PR,Privada,1,1,140,2
FACULDADE PIAUIENSE,FAP,PI,Privada,5,4,208,3
FACULDADES INTEGRADAS DO VALE DO RIBEIRA,FIVR,SP,Privada,10,4,186,2
FACULDADE SETE DE SETEMBRO,FA7,CE,Privada,7,5,297,4
INSTITUTO DE ENSINO SUPERIOR DE JOÃO MONLEVADE,IES/FUNCEC,MG,Privada,7,4,224,3
"ESCOLA SUPERIOR DE ADMINISTRACAO, MARKETING E COMUNICACAO DE SOROCABA",ESAMC  Sorocaba,SP,Privada,2,2,239,3
FACULDADE DE ILHA SOLTEIRA,FAISA,SP,Privada,2,2,211,3
"FACULDADE DE SAÚDE, CIÊNCIAS HUMANAS E TECNOLÓGICAS DO PIAUÍ",NOVAFAPI,PI,Privada,9,5,260,3
FACULDADE SUL FLUMINENSE,FASF,RJ,Privada,2,1,220,3
FACULDADE UNIME DE CIÊNCIAS JURÍDICAS,FCJ,BA,Privada,1,1,275,3
FACULDADE VIZINHANÇA VALE DO IGUAÇU,VIZIVALI,PR,Municipal,4,3,204,3
FACULDADES INTEGRADAS DE CARATINGA,FIC,MG,Privada,6,5,191,2
FACULDADES INTEGRADAS DE ARARAQUARA,FIAR,SP,Privada,7,5,184,2
FACULDADE UNIME DE CIENCIAS SOCIAIS,FCS,BA,Privada,4,4,261,3
FACULDADE DE CIÊNCIAS SOCIAIS APLICADAS,FACISA,BA,Privada,3,3,226,3
FACULDADE ALFREDO NASSER,FAN,GO,Privada,7,4,203,3
FACULDADE EDUCACIONAL DE MEDIANEIRA,FACEMED,PR,Privada,4,2,263,3
INSTITUTO DE ENSINO SUPERIOR BLAURO CARDOSO DE MATTOS,FASERRA,ES,Privada,1,1,168,2
FACULDADE INTERMUNICIPAL DO NOROESTE DO PARANÁ,FACINOR,PR,Privada,5,5,196,3
FACULDADE DE CIÊNCIAS E EDUCAÇÃO SENA AIRES,FACESA,GO,Privada,2,1,146,2
FACULDADE DA CIDADE DE SANTA LUZIA,FACSAL,MG,Privada,11,2,245,3
FACULDADE DECISÃO,FADE,PE,Privada,3,3,137,2
FACULDADE DE TECNOLOGIA DE INDAIATUBA,FATEC-Id,SP,Estadual,1,1,309,4
FACULDADE DE TECNOLOGIA DE GUARATINGUETÁ,,SP,Estadual,1,0,,
FACULDADE ENERGIA DE ADMINISTRACAO E NEGOCIOS,Fean,SC,Privada,1,1,344,4
FACULDADES INTEGRADAS DE TANGARÁ DA SERRA,FITS,MT,Privada,6,4,142,2
FACULDADE DE CIENCIAS HUMANAS E SOCIAIS APLICADAS,FACSÃOLUÍS,MA,Privada,6,5,222,3
FACULDADE SEAMA,SEAMA,AP,Privada,13,9,188,2
FACULDADE DE ODONTOLOGIA DE MANAUS,FOM,AM,Privada,1,1,83,1
FACULDADE DE CIENCIAS E EDUCACAO DO ESPIRITO SANTO,UNIVES,ES,Privada,1,1,171,2
FACULDADE SANTA FÉ,CESSF,MA,Privada,2,2,282,3
FACULDADE POLITÉCNICA DE UBERLÂNDIA,FPU,MG,Privada,6,6,209,3
INSTITUTO DE ENSINO SUPERIOR PRESIDENTE TANCREDO DE ALMEIDA NEVES,IPTAN,MG,Privada,2,2,266,3
INSTITUTO DE CIÊNCIAS DA SAÚDE,ICS,MG,Privada,8,7,223,3
FACULDADE CIDADE DE COROMANDEL,FCC,MG,Privada,6,3,187,2
FACULDADE DE ADMINISTRACAO DE NOVA ANDRADINA - FANOVA,FANOVA,MS,Privada,1,1,167,2
FACULDADE VALE DO APORÉ,FAVA,MS,Privada,7,5,167,2
FACULDADE LUTERANA SAO MARCOS,FALSM,RS,Privada,1,1,184,2
FACULDADE DOS CERRADOS PIAUIENSES,FCP,PI,Privada,4,2,138,2
FACULDADE DAS ATIVIDADES EMPRESARIAIS DE TERESINA,FAETE,PI,Privada,4,3,192,2
FACULDADE EDUCACIONAL DE ARAPOTI,FATI,PR,Privada,2,2,184,2
FACULDADE SUL BRASIL,FASUL,PR,Privada,7,7,241,3
FACULDADE ADVENTISTA PARANAENSE,IAP,PR,Privada,3,2,293,3
FACULDADE PALAS ATENA DE ASTORGA,FPA ASTORGA,PR,Privada,1,1,199,3
INSTITUTO SUPERIOR DO LITORAL DO PARANÁ,ISULPAR,PR,Privada,7,5,178,2
FACULDADE DE CIÊNCIAS ECONÔMICAS DA REGIÃO CARBONÍFERA,FACIERC,SC,Privada,2,1,293,3
INSTITUTO BLUMENAUENSE DE ENSINO SUPERIOR,IBES,SC,Privada,8,2,229,3
FACULDADE ERNESTO RISCALI,FAER,SP,Privada,2,1,201,3
FACULDADE SANTA RITA,FASAR,SP,Privada,2,1,305,4
FACULDADE NETWORK,NWK,SP,Privada,3,3,241,3
FACULDADE DO INTERIOR PAULISTA,FIP,SP,Privada,2,2,151,2
FACULDADE DE CIÊNCIAS AGRÁRIAS DE ANDRADINA,FCAA,SP,Privada,1,1,160,2
FACULDADE MARECHAL RONDON,FMR,SP,Privada,4,0,,
FACULDADE REUNIDA,,SP,Privada,1,1,,
CENTRO DE TECNOLOGIA E CIÊNCIA - CETEC,ETEP,SP,Privada,7,1,237,3
FACULDADE DE CIÊNCIAS HUMANAS DE AGUAÍ,Facha,SP,Privada,2,2,191,2
FACULDADE ITABIRANA DE DESENVOLVIMENTO DAS CIÊNCIAS E TECNOLOGIAS,FATEC,MG,Privada,3,1,258,3
FACULDADE METROPOLITANA LONDRINENSE,UMP,PR,Privada,8,4,198,3
FACULDADE BATISTA DA SERRA,FABAVI,ES,Privada,1,1,169,2
FACULDADE DE CIÊNCIAS JURÍDICAS E SOCIAIS DE MACEIÓ,FAMA,AL,Privada,4,1,55,1
FACULDADE DO AMAZONAS,IAES,AM,Privada,1,1,150,2
FACULDADE HÉLIO ROCHA,FHR,BA,Privada,5,5,202,3
FACULDADE DE CIÊNCIAS HUMANAS E SOCIAIS,Faculdade AGES,BA,Privada,6,3,348,4
FACULDADE SOCIAL DA BAHIA,FSBA,BA,Privada,8,5,228,3
FACULDADE DE TECNOLOGIA E CIÊNCIAS DE ITABUNA,FTC,BA,Privada,11,4,186,2
FACULDADE ANÍSIO TEIXEIRA DE FEIRA DE SANTANA,FAT,BA,Privada,5,2,209,3
FACULDADE UNIME DE EDUCAÇÃO E COMUNICAÇÃO,FEC,BA,Privada,3,2,238,3
FACULDADE DE TECNOLOGIA E CIÊNCIAS DE JEQUIÉ,FTC,BA,Privada,3,3,154,2
FACULDADE DE EDUCAÇÃO CIÊNCIAS E LETRAS DE PARAÍSO,FECIPAR,TO,Privada,4,0,,
INSTITUTO DE ENSINO SUPERIOR DO CEARÁ,IESC,CE,Privada,5,2,213,3
FACULDADE J. SIMÕES ENSINO SUPERIOR,FABAVI,ES,Privada,3,2,236,3
FACULDADE DE VITORIA,UVV Vitória,ES,Privada,1,1,179,2
FACULDADE DE GUAÇUÍ,UVV Guaçuí,ES,Privada,2,1,222,3
INSTITUTO DE ENSINO SUPERIOR DE NOVA VENÉCIA,INESV,ES,Privada,4,2,272,3
FACULDADE CENECISTA DE SETE LAGOAS,FCSL,MG,Privada,3,2,233,3
INSTITUTO DE ENSINO SUPERIOR DE TERESINA,IEST,PI,Privada,6,4,186,2
FACULDADE EDUCACIONAL DE DOIS VIZINHOS,FAED,PR,Privada,9,7,204,3
FACULDADE INTEGRADA DA GRANDE FORTALEZA,FGF,CE,Privada,12,8,216,3
FACULDADE ESTÁCIO DE SÁ DE OURINHOS,FAESO,SP,Privada,7,4,211,3
FACULDADE DE CIÊNCIAS SOCIAIS E TECNOLÓGICAS FACITEC,FACITEC,DF,Privada,10,5,196,3
FACULDADE DE ADMINISTRACAO ESCOLA SUPERIOR PROFESSOR PAULO MARTINS,ESPAM,DF,Privada,1,1,191,2
FACULDADE CAPIXABA DE ADMINISTRAÇÃO E EDUCAÇÃO,UNICES,ES,Privada,2,2,161,2
FACULDADE ARAGUAIA,FARA,GO,Privada,5,4,212,3
FACULDADE DA SAÚDE E ECOLOGIA HUMANA,FASEH,MG,Privada,3,1,210,3
FACULDADE KENNEDY,FK,MG,Privada,1,1,191,2
FACULDADE NOVOS HORIZONTES,Novos Horizontes,MG,Privada,3,2,223,3
FACULDADE INTERNACIONAL DE CIENCIAS EMPRESARIAIS,FICE,MG,Privada,1,1,198,3
FACULDADE METROPOLITANA DE BELO HORIZONTE -METROPOLITANA -BH,FAME-BH,MG,Privada,8,5,181,2
INSTITUTO METROPOLITANO DE ENSINO SUPERIOR,IMES,MG,Privada,1,0,,
FACULDADE ASA DE BRUMADINHO,IECEMB - FAB,MG,Privada,5,2,245,3
INSTITUTO ESPERANÇA DE ENSINO SUPERIOR,IESPES,PA,Privada,5,4,203,3
INSTITUTO SALESIANO DE FILOSOFIA,INSAF,PE,Privada,1,1,144,2
FACULDADE METROPOLITANA DA GRANDE RECIFE,UNESJ,PE,Privada,4,3,202,3
FACULDADE SÃO MIGUEL,FACULDADE SÃO MIGUEL,PE,Privada,4,1,251,3
FACULDADE DE ENSINO SUPERIOR DO PIAUÍ,FAESPI,PI,Privada,2,2,252,3
FACULDADE DE CIÊNCIAS DE WENCESLAU BRAZ,FACIBRA,PR,Privada,2,2,164,2
FACULDADE DE CAMPINA GRANDE DO SUL,FACSUL,PR,Privada,2,2,230,3
FACULDADE DE CIÊNCIAS E TECNOLOGIA MATER CHRISTI,MATER CHRISTI,RN,Privada,4,4,182,2
FACULDADE DE CIÊNCIAS SOCIAIS APLICADAS,Faculdades Ibmec,RJ,Privada,1,1,332,4
FACULDADE SALESIANA MARIA AUXILIADORA,FSMA,RJ,Privada,5,3,243,3
FACULDADE PIAUIENSE,FAP,PI,Privada,7,3,240,3
FACULDADE BARDDAL DE CIÊNCIAS CONTÁBEIS,FB-CC,SC,Privada,1,1,216,3
FACULDADE BARDDAL DE ARTES APLICADAS,FB-AA,SC,Privada,2,2,213,3
FACULDADE IDEPE,,SP,Privada,4,3,194,2
FACULDADE SANTA IZILDINHA,FIESI,SP,Privada,7,1,205,3
FACULDADE DE SÃO VICENTE,FSV,SP,Privada,6,3,211,3
ESCOLA SUPERIOR DE TECNOLOGIA E EDUCAÇÃO DE PORTO FERREIRA,ESPF,SP,Privada,4,2,170,2
FACULDADE DE CIENCIAS GERENCIAIS,FAITA,SP,Privada,1,1,206,3
ESCOLA SUPERIOR DE CRICIÚMA - ESUCRI,ESUCRI,SC,Privada,3,2,219,3
FACULDADE DE EDUCAÇÃO DE BOM DESPACHO,FACEB,MG,Privada,1,1,185,2
FACULDADE CENTRAL DE CRISTALINA,FACEC,GO,Privada,3,0,,
FACULDADE ESCRITOR OSMAN DA COSTA LINS,FACOL,PE,Privada,5,3,178,2
FACULDADE DE EDUCAÇÃO DE JARU,UNICENTRO,RO,Privada,3,2,185,2
FACULDADE SETE LAGOAS DE MINAS GERAIS,FSLMG,MG,Privada,3,2,212,3
FACULDADE MACHADO DE ASSIS,FAMA,RJ,Privada,3,3,155,2
FACULDADE ATUAL DA AMAZÔNIA,FAA,RR,Privada,6,4,209,3
INSTITUTO DE ENSINO SUPERIOR DE RIO VERDE,IESRIVER,GO,Privada,5,3,183,2
FACULDADE DE INFORMÁTICA DO RECIFE,FACIR,PE,Privada,1,0,,
FACULDADE DE CIÊNCIAS CONTÁBEIS DE RECIFE,FACCOR,PE,Privada,1,1,177,2
INSTITUTO PERNAMBUCANO DE ENSINO SUPERIOR,IPESU,PE,Privada,9,6,189,2
FACULDADE INTEGRADA DE PERNAMBUCO,FACIPE,PE,Privada,3,2,206,3
FACULDADE DE NEGÓCIOS E TECNOLOGIAS DA INFORMAÇÃO,FACNET,DF,Privada,2,2,195,3
FACULDADE DE PRESIDENTE PRUDENTE,FAPEPE,SP,Privada,6,5,215,3
FACULDADE DE CIÊNCIAS E TECNOLOGIA DE TERESINA,FACET,PI,Privada,1,1,151,2
FACULDADE DE TECNOLOGIA DE SÃO VICENTE,FATEF,SP,Privada,2,2,143,2
ESCOLA SUPERIOR DE GESTAO COMERCIAL E MARKETING,ESIC,PR,Privada,1,1,332,4
FACULDADE DO SUL DA BAHIA,FASB,BA,Privada,6,3,214,3
FACULDADE UNIÃO DAS AMÉRICAS,UNIAMÉRICA,PR,Privada,13,11,184,2
FACULDADE DE IMPERATRIZ,FACIMP,MA,Privada,10,9,170,2
FACULDADE NOBRE DE FEIRA DE SANTANA,FAN,BA,Privada,6,2,249,3
FACULDADE MINAS GERAIS,FAMIG,MG,Privada,1,1,212,3
FACULDADE DE VIÇOSA,FDV,MG,Privada,4,4,230,3
FACULDADE DE PORTO VELHO,FIP,RO,Privada,4,3,175,2
ESCOLA SUPERIOR DE ADMINISTRACAO E GESTAO,ESAGS,SP,Privada,1,1,358,4
FACULDADE DE GUARARAPES,FAG,SP,Privada,4,4,199,3
FACULDADE XV DE AGOSTO,FAQ,SP,Privada,1,1,156,2
FACULDADE SANTA AMÉLIA,SECAL,PR,Privada,6,5,196,3
FACULDADE DE CARIACICA,UNIEST,ES,Privada,1,1,155,2
FACULDADE INTERAMERICANA DE PORTO VELHO,Uniron,RO,Privada,10,5,173,2
FACULDADE DE CIENCIAS SOCIAIS APLICADAS,UNICEN,MT,Privada,2,2,169,2
FACULDADE GENNARI E PEARTREE,FGP,SP,Privada,3,3,281,3
FACULDADE DE ENSINO SUPERIOR DE MARECHAL CANDIDO RONDON,ISEPE  RONDON,PR,Privada,1,1,118,2
FACULDADE INTEGRAL DIFERENCIAL,FACID,PI,Privada,7,5,234,3
FACULDADE DE CIÊNCIAS APLICADAS DOUTOR LEÃO SAMPAIO,LEÃO,CE,Privada,7,2,214,3
INSTITUTO SUPERIOR DE EDUCAÇÃO LA SALLE,ISE La Salle,RJ,Privada,3,2,273,3
INSTITUTO LUTERANO DE ENSINO SUPERIOR DE PORTO VELHO,ULBRA ILES,RO,Privada,6,4,221,3
INSTITUTO DE ENSINO SUPERIOR DO CENTRO OESTE,IESCO,DF,Privada,2,2,201,3
FACULDADE DE TECNOLOGIA CARLOS DRUMMOND DE ANDRADE,CSET Drummond,SP,Privada,2,2,89,1
FACULDADE DE TECNOLOGIA OSWALDO CRUZ,FATEC OSWALDO CRUZ,SP,Privada,3,2,207,3
FACULDADE DE TECNOLOGIA ALBERT EINSTEIN,FAESP,SP,Privada,1,0,,
FACULDADE LUSO-BRASILEIRA,FALUB,PE,Privada,5,1,129,2
UNIDADE DE ENSINO SUPERIOR EXPOENTE,UNIEXP,PR,Privada,4,3,229,3
FACULDADE AUTÔNOMA DE DIREITO,FADISP,SP,Privada,1,1,339,4
FACULDADE DE ENFERMAGEM NOVA ESPERANÇA,FACENE,PB,Privada,1,1,170,2
INSTITUTO SUPERIOR DE EDUCAÇÃO DE BRASÍLIA,,DF,Privada,4,2,191,2
FACULDADE ASSOCIADA BRASIL,FAB,SP,Privada,4,1,256,3
FACULDADE INDEPENDENTE DO NORDESTE,FAINOR,BA,Privada,4,2,269,3
FACULDADE PADRE JOÃO BAGOZZI,Faculdade Bagozzi,PR,Privada,2,2,262,3
FACULDADE DE TECNOLOGIA JOÃO XXIII,CET João XXIII,SP,Privada,1,1,118,2
FACULDADE DE TECNOLOGIA SENAI CHAPECÓ,SENAI,SC,Privada,2,2,203,3
FACULDADE DE EDUCAÇÃO REGIONAL SERRANA,FUNPAC,ES,Privada,1,1,226,3
FACULDADE DE JOSÉ BONIFÁCIO,FJB,SP,Privada,4,3,173,2
FACULDADE ESPÍRITO SANTENSE,UNICAPE,ES,Privada,4,3,251,3
FACULDADE DE CIÊNCIAS SOCIAIS APLICADAS,UNIC,MT,Privada,4,1,105,2
FACULDADE REGIONAL SERRANA,FUNPAC,ES,Privada,1,0,,
FACULDADE SANTA MARIA,FSM,PE,Privada,2,2,260,3
FACULDADE NORDESTE,Fanor,CE,Privada,11,11,228,3
FACULDADE DE ITAPIRANGA,SEI/FAI,SC,Privada,6,3,234,3
FACULDADE EDUCACIONAL DE PONTA GROSSA,UNIÃO,PR,Privada,3,1,185,2
FACULDADE DO VALE DO IPOJUCA,FAVIP,PE,Privada,12,6,202,3
FACULDADE DE TECNOLOGIA PROF. LUIZ ROSA,FATEC PROF LUIZ ROSA,SP,Privada,1,0,,
FACULDADE METROPOLITANA DE GUARAMIRIM,FAMEG,SC,Privada,7,3,223,3
"FACULDADE DE EDUCAÇÃO, CIÊNCIAS E LETRAS SÃO JUDAS TADEU",,RS,Privada,2,2,271,3
FACULDADE DE ADMINISTRACAO DE BRASILIA,AIEC / FAAB,DF,Privada,1,1,304,4
FACULDADE HORIZONTINA,FAHOR,RS,Privada,3,1,231,3
FACULDADE INTESP,INTESP,SP,Privada,1,1,109,2
"FACULDADE DE ARTES, CIENCIAS E TECNOLOGIAS",FACET,BA,Privada,2,1,170,2
FACULDADE DE CIENCIAS SOCIAIS APLICADAS,FACISA - CELER,SC,Privada,5,3,158,2
FACULDADE EDITORA NACIONAL,FAENAC,SP,Privada,13,8,226,3
FACULDADE DE COLIDER,FACIDER,MT,Privada,3,1,157,2
INSTITUTO MACHADENSE DE ENSINO SUPERIOR,IMES,MG,Privada,2,2,207,3
INSTITUTO DE ENSINO SUPERIOR DE JOINVILLE,IESVILLE,SC,Privada,2,2,164,2
FACULDADE DE ADMINISTRAÇÃO E ARTES DE LIMEIRA,FAAL,SP,Privada,3,1,252,3
INSTITUTO CATUAÍ DE ENSINO SUPERIOR,ICES,PR,Privada,3,3,243,3
INSTITUTO SUPERIOR DE EDUCAÇÃO DO SUL DA BAHIA,ISESB,BA,Privada,1,1,172,2
FACULDADE DE EDUCAÇÃO DE VITÓRIA,UNIVES - AUFES,ES,Privada,1,1,111,2
FACULDADE DE CIÊNCIAS EXATAS E TECNOLÓGICAS DE UNIÃO DA VITÓRIA,UNIGUAÇU,PR,Privada,2,1,214,3
FACULDADE DE CIÊNCIAS SOCIAIS APLICADAS DE UNIÃO DA VITÓRIA,UNIGUAÇU,PR,Privada,2,1,204,3
